,Actual,Forecast
2018-10-14 00:00:00+00:00,55848.94047619047,57246.65078877866
2018-10-21 00:00:00+00:00,55762.125,57525.58052426863
2018-10-28 00:00:00+00:00,58684.71428571428,58424.56058353716
2018-11-04 00:00:00+00:00,55917.58928571428,55163.720877975335
2018-11-11 00:00:00+00:00,58163.47023809524,60268.682900573556
2018-11-18 00:00:00+00:00,59696.083333333336,60974.79726544456
2018-11-25 00:00:00+00:00,61553.36309523809,61455.44028356511
2018-12-02 00:00:00+00:00,62379.15476190476,62726.51529165124
2018-12-09 00:00:00+00:00,62322.69047619047,63663.693217012835
2018-12-16 00:00:00+00:00,63243.5,63071.351863628115
2018-12-23 00:00:00+00:00,59408.55952380953,58281.607886581995
2018-12-30 00:00:00+00:00,49075.583333333336,49342.83678813892
2019-01-06 00:00:00+00:00,53805.875,56604.62362178879
2019-01-13 00:00:00+00:00,62372.20238095238,61389.33400576101
2019-01-20 00:00:00+00:00,62423.494047619046,62962.05815177347
2019-01-27 00:00:00+00:00,63587.01190476191,61552.192112686804
2019-02-03 00:00:00+00:00,62088.767857142855,61784.63129675443
2019-02-10 00:00:00+00:00,62359.53571428572,62225.66202378957
2019-02-17 00:00:00+00:00,60799.00595238096,61668.152777645715
2019-02-24 00:00:00+00:00,59467.517857142855,61516.27360507538
2019-03-03 00:00:00+00:00,58481.82142857143,63468.36734290229
2019-03-10 00:00:00+00:00,58990.95238095238,60052.126878576346
2019-03-17 00:00:00+00:00,60078.91071428572,61202.1955428107
2019-03-24 00:00:00+00:00,57649.36309523809,60904.701689786896
2019-03-31 00:00:00+00:00,56771.51190476191,56261.26569578057
2019-04-07 00:00:00+00:00,56433.857142857145,55605.23373596162
2019-04-14 00:00:00+00:00,56765.97023809524,56425.94574479574
2019-04-21 00:00:00+00:00,51656.26190476191,55287.22122433662
2019-04-28 00:00:00+00:00,52336.75,56358.50236499826
2019-05-05 00:00:00+00:00,53123.17261904762,53890.672043631326
2019-05-12 00:00:00+00:00,56023.57738095238,54089.01123658595
2019-05-19 00:00:00+00:00,55285.59523809524,56020.67174186063
2019-05-26 00:00:00+00:00,54945.35119047619,54079.994862852174
2019-06-02 00:00:00+00:00,51308.80357142857,54882.078079028244
