,Actual,Forecast
2018-10-14 00:00:00+00:00,55848.94047619047,56867.88172034935
2018-10-21 00:00:00+00:00,55762.125,57632.71446988436
2018-10-28 00:00:00+00:00,58684.71428571428,58702.6645216157
2018-11-04 00:00:00+00:00,55917.58928571428,55136.4279008119
2018-11-11 00:00:00+00:00,58163.47023809524,59635.0569621917
2018-11-18 00:00:00+00:00,59696.083333333336,60848.15695990842
2018-11-25 00:00:00+00:00,61553.36309523809,62004.834566102814
2018-12-02 00:00:00+00:00,62379.15476190476,62822.958111004475
2018-12-09 00:00:00+00:00,62322.69047619047,63239.2639061835
2018-12-16 00:00:00+00:00,63243.5,63229.667764886166
2018-12-23 00:00:00+00:00,59408.55952380953,58267.54071150257
2018-12-30 00:00:00+00:00,49075.583333333336,49227.95199375662
2019-01-06 00:00:00+00:00,53805.875,56764.55003582411
2019-01-13 00:00:00+00:00,62372.20238095238,60952.80442230112
2019-01-20 00:00:00+00:00,62423.494047619046,62744.43170532552
2019-01-27 00:00:00+00:00,63587.01190476191,62626.50860201979
2019-02-03 00:00:00+00:00,62088.767857142855,62209.25773133363
2019-02-10 00:00:00+00:00,62359.53571428572,61339.98447054176
2019-02-17 00:00:00+00:00,60799.00595238096,61082.25436643835
2019-02-24 00:00:00+00:00,59467.517857142855,60838.818534905295
2019-03-03 00:00:00+00:00,58481.82142857143,61832.43782972337
2019-03-10 00:00:00+00:00,58990.95238095238,59496.42936275068
2019-03-17 00:00:00+00:00,60078.91071428572,60691.86564824629
2019-03-24 00:00:00+00:00,57649.36309523809,60120.14884922007
2019-03-31 00:00:00+00:00,56771.51190476191,55900.56448900613
2019-04-07 00:00:00+00:00,56433.857142857145,55446.85201186847
2019-04-14 00:00:00+00:00,56765.97023809524,57632.58676247651
2019-04-21 00:00:00+00:00,51656.26190476191,55572.87814315384
2019-04-28 00:00:00+00:00,52336.75,55953.59401134934
2019-05-05 00:00:00+00:00,53123.17261904762,54453.07628097022
2019-05-12 00:00:00+00:00,56023.57738095238,54922.22356763528
2019-05-19 00:00:00+00:00,55285.59523809524,56579.51171802459
2019-05-26 00:00:00+00:00,54945.35119047619,54196.689811340075
2019-06-02 00:00:00+00:00,51308.80357142857,54724.64452109232
2019-06-09 00:00:00+00:00,54528.16071428572,56787.52400695187
2019-06-16 00:00:00+00:00,52286.708333333336,56570.246331401846
2019-06-23 00:00:00+00:00,52541.21428571428,57200.434021746114
2019-06-30 00:00:00+00:00,55955.28571428572,56990.784786021664
2019-07-07 00:00:00+00:00,55179.63095238096,56595.333354836366
2019-07-14 00:00:00+00:00,53908.16666666666,55033.7234790436
2019-07-21 00:00:00+00:00,53511.96428571428,54556.594007898406
2019-07-28 00:00:00+00:00,54207.10119047619,55816.07104565891
2019-08-04 00:00:00+00:00,52392.10119047619,55001.98894848616
2019-08-11 00:00:00+00:00,52019.05357142857,54611.44328565626
2019-08-18 00:00:00+00:00,51155.23809523809,53807.7705460282
2019-08-25 00:00:00+00:00,51838.13095238096,55249.2872366627
2019-09-01 00:00:00+00:00,54091.97023809524,55944.23821603583
2019-09-08 00:00:00+00:00,52443.16071428572,55659.820171031664
2019-09-15 00:00:00+00:00,53348.48809523809,55977.416185051625
2019-09-22 00:00:00+00:00,53222.54761904762,57306.42974031233
2019-09-29 00:00:00+00:00,54829.47619047619,56352.12802133836
2019-10-06 00:00:00+00:00,52330.63095238096,55351.644631118965
2019-10-13 00:00:00+00:00,55801.708333333336,58080.6258540318
2019-10-20 00:00:00+00:00,56132.79166666666,58100.24835926296
2019-10-27 00:00:00+00:00,56484.41071428572,58840.696560725606
2019-11-03 00:00:00+00:00,55029.63095238096,56404.58622308562
2019-11-10 00:00:00+00:00,58159.36309523809,60837.182583209724
2019-11-17 00:00:00+00:00,59112.23809523809,61930.54876780553
2019-11-24 00:00:00+00:00,59735.94047619047,62058.91793325733
