ARIMA,Seasonal,AIC
"(2, 2, 6)","(0, 1, 1, 52)",1479.7417523742406
"(3, 2, 6)","(0, 1, 1, 52)",1481.168570339911
"(1, 2, 6)","(0, 1, 1, 52)",1482.4802591996072
"(4, 2, 6)","(0, 1, 1, 52)",1482.9340168419012
"(5, 2, 6)","(0, 1, 1, 52)",1484.4336230621468
"(0, 1, 6)","(0, 1, 1, 52)",1485.1846456696169
"(6, 2, 6)","(0, 1, 1, 52)",1485.4818257568415
"(0, 2, 6)","(0, 1, 1, 52)",1486.158156029242
"(1, 1, 6)","(0, 1, 1, 52)",1489.648712159967
"(2, 1, 6)","(0, 1, 1, 52)",1491.5925304320372
"(4, 1, 6)","(0, 1, 1, 52)",1491.7083117124748
"(3, 1, 6)","(0, 1, 1, 52)",1493.775766824979
"(5, 1, 6)","(0, 1, 1, 52)",1493.9896519072324
"(6, 1, 6)","(0, 1, 1, 52)",1497.9723090936031
"(2, 2, 5)","(0, 1, 1, 52)",1499.9360961205755
"(3, 2, 5)","(0, 1, 1, 52)",1500.6587969384473
"(4, 2, 5)","(0, 1, 1, 52)",1501.2809543092062
"(0, 2, 5)","(0, 1, 1, 52)",1502.7591775885146
"(1, 2, 5)","(0, 1, 1, 52)",1504.0578282661515
"(0, 1, 5)","(0, 1, 1, 52)",1508.2001344001167
"(1, 0, 6)","(0, 1, 1, 52)",1508.3311529120908
"(4, 1, 5)","(0, 1, 1, 52)",1508.549989079086
"(6, 1, 5)","(0, 1, 1, 52)",1509.000244041968
"(2, 0, 6)","(0, 1, 1, 52)",1509.0690438249562
"(1, 1, 5)","(0, 1, 1, 52)",1509.5293571831924
"(5, 1, 5)","(0, 1, 1, 52)",1509.9798277899629
"(3, 1, 5)","(0, 1, 1, 52)",1510.5342219369586
"(3, 0, 6)","(0, 1, 1, 52)",1511.0929901361212
"(2, 1, 5)","(0, 1, 1, 52)",1511.292780049414
"(4, 0, 6)","(0, 1, 1, 52)",1512.9822027106463
"(6, 0, 6)","(0, 1, 1, 52)",1513.7253394976638
"(0, 0, 6)","(0, 1, 1, 52)",1514.5160549947475
"(5, 0, 6)","(0, 1, 1, 52)",1514.6811656734503
"(6, 2, 5)","(0, 1, 1, 52)",1515.0134624572981
"(5, 2, 5)","(0, 1, 1, 52)",1515.550080873246
"(3, 2, 4)","(0, 1, 1, 52)",1515.984655990778
"(2, 2, 4)","(0, 1, 1, 52)",1517.7725956698416
"(1, 2, 4)","(0, 1, 1, 52)",1519.5750204114238
"(4, 2, 4)","(0, 1, 1, 52)",1520.4004169223933
"(0, 2, 4)","(0, 1, 1, 52)",1520.5267962612402
"(0, 1, 4)","(0, 1, 1, 52)",1523.4723226566311
"(2, 1, 4)","(0, 1, 1, 52)",1524.7672531496887
"(1, 1, 4)","(0, 1, 1, 52)",1527.4508239474374
"(1, 0, 5)","(0, 1, 1, 52)",1528.002548682528
"(2, 0, 5)","(0, 1, 1, 52)",1528.563774178637
"(3, 1, 4)","(0, 1, 1, 52)",1529.1338470285486
"(3, 0, 5)","(0, 1, 1, 52)",1529.872062513075
"(0, 0, 5)","(0, 1, 1, 52)",1530.1932006291504
"(5, 1, 4)","(0, 1, 1, 52)",1531.8610314586288
"(4, 1, 4)","(0, 1, 1, 52)",1532.0110213037367
"(5, 0, 5)","(0, 1, 1, 52)",1533.4994038944901
"(5, 2, 4)","(0, 1, 1, 52)",1534.8311873761977
"(6, 1, 4)","(0, 1, 1, 52)",1535.1405706187916
"(4, 0, 5)","(0, 1, 1, 52)",1535.151790384753
"(6, 0, 5)","(0, 1, 1, 52)",1535.3217625499035
"(6, 2, 4)","(0, 1, 1, 52)",1535.9592365905414
"(2, 2, 3)","(0, 1, 1, 52)",1537.4140731136197
"(0, 1, 3)","(0, 1, 1, 52)",1539.538264853663
"(3, 1, 3)","(0, 1, 1, 52)",1542.2893003301238
"(6, 2, 3)","(0, 1, 1, 52)",1543.5325770801207
"(1, 2, 3)","(0, 1, 1, 52)",1543.64130321823
"(3, 0, 4)","(0, 1, 1, 52)",1543.7602228914495
"(2, 1, 3)","(0, 1, 1, 52)",1544.4237134041755
"(0, 2, 3)","(0, 1, 1, 52)",1544.5059893386883
"(1, 1, 3)","(0, 1, 1, 52)",1544.91239550363
"(1, 0, 4)","(0, 1, 1, 52)",1545.56946674804
"(2, 0, 4)","(0, 1, 1, 52)",1546.2612659364581
"(6, 1, 3)","(0, 1, 1, 52)",1546.7873536718566
"(0, 0, 4)","(0, 1, 1, 52)",1547.607222839264
"(4, 1, 3)","(0, 1, 1, 52)",1548.0731421286634
"(5, 1, 3)","(0, 1, 1, 52)",1548.4006235898619
